time_s,motor_cmd_rad_s,motor_angle_rad,motor_angle_deg,motor_velocity_rad_s,motor_effort_nm,motor_saturated,left_length_m,right_length_m,left_free_length_m,right_free_length_m,left_extension_m,right_extension_m,left_strain,right_strain,left_length_rate_m_s,right_length_rate_m_s,left_tension_n,right_tension_n,left_overstretch,right_overstretch,j0_q_rad,j0_q_deg,j0_qdot_rad_s,j0_passive_tau_nm,j1_q_rad,j1_q_deg,j1_qdot_rad_s,j1_passive_tau_nm,j2_q_rad,j2_q_deg,j2_qdot_rad_s,j2_passive_tau_nm,j3_q_rad,j3_q_deg,j3_qdot_rad_s,j3_passive_tau_nm,j4_q_rad,j4_q_deg,j4_qdot_rad_s,j4_passive_tau_nm,safety_tripped
0.0205,0,3.402736394e-47,1.949624342e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-1.929408967e-29,-1.105469908e-27,-2.225745874e-27,1.254115829e-29,1.386622105e-29,7.944759438e-28,3.615642857e-27,-9.013043681e-30,8.367926231e-29,4.794468563e-27,5.502004212e-27,-5.43915205e-29,-2.257669476e-29,-1.293549325e-27,-6.476276424e-27,1.467485159e-29,-1.084709253e-28,-6.214926221e-27,-3.835580997e-27,7.050610146e-29,0
0.0225,0,3.743010034e-47,2.144586776e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-2.426446094e-29,-1.390251204e-27,-2.634239314e-27,1.577189961e-29,2.364807333e-29,1.354934796e-27,5.653962683e-27,-1.537124767e-29,8.950024274e-29,5.127986174e-27,1.320944357e-27,-5.817515778e-29,-2.935806006e-29,-1.682092936e-27,-1.493693416e-27,1.908273904e-29,-1.196047641e-28,-6.852848191e-27,-6.617362247e-27,7.774309665e-29,0
0.0245,0,4.083283673e-47,2.33954921e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-2.995011541e-29,-1.716015209e-27,-2.952031422e-27,1.946757502e-29,3.72976453e-29,2.136997662e-27,7.47592326e-27,-2.424346945e-29,8.713634346e-29,4.992544723e-27,-2.581072239e-27,-5.663862325e-29,-2.65367348e-29,-1.520442906e-27,2.984603722e-27,1.724887762e-29,-1.359119147e-28,-7.787179095e-27,-8.954487458e-27,8.834274453e-29,0
0.0265,0,4.423557313e-47,2.534511645e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-3.608226943e-29,-2.067361753e-27,-3.11118267e-27,2.345347513e-29,5.392301443e-29,3.089561145e-27,8.725132841e-27,-3.504995938e-29,7.841749259e-29,4.492991365e-27,-5.220168689e-27,-5.097137018e-29,-1.709468892e-29,-9.794535273e-28,5.436407231e-27,1.11115478e-29,-1.552883952e-28,-8.897369653e-27,-9.911723543e-27,1.009374569e-28,0
0.0285,0,4.763830952e-47,2.729474079e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-4.2282836e-29,-2.422628048e-27,-3.066715332e-27,2.74838434e-29,7.207005682e-29,4.129310085e-27,9.175665266e-27,-4.684553693e-29,6.667853526e-29,3.820398654e-27,-6.013666901e-27,-4.334104792e-29,-6.282007341e-30,-3.599325075e-28,5.01192557e-27,4.083304771e-30,-1.742595326e-28,-9.984335755e-27,-8.986402053e-27,1.132686962e-28,0
0.0305,0,5.104104592e-47,2.924436513e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-4.812374935e-29,-2.757287732e-27,-2.806310071e-27,3.128043708e-29,9.006101346e-29,5.16011597e-27,8.787828465e-27,-5.853965875e-29,5.571979185e-29,3.192508909e-27,-4.9492503e-27,-3.621786471e-29,1.187695229e-31,6.804992395e-30,1.811620063e-27,-7.720018986e-32,-1.890932641e-28,-1.083424597e-26,-6.28450244e-27,1.229106217e-28,0
0.033,0,5.529446641e-47,3.168139556e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-5.430039701e-29,-3.111183575e-27,-2.211662583e-27,3.529525806e-29,1.100562176e-28,6.305756777e-27,7.36068332e-27,-7.153654143e-29,4.771177285e-29,2.733683217e-27,-1.878350076e-27,-3.101265235e-29,-4.528878549e-30,-2.594856268e-28,-4.472095626e-27,2.943771057e-30,-1.97775035e-28,-1.13316748e-26,-1.504630536e-27,1.285537728e-28,0
0.035,0,5.86972028e-47,3.36310199e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-5.794933846e-29,-3.320252519e-27,-1.578837813e-27,3.766707e-29,1.228695237e-28,7.03990514e-27,5.812619425e-27,-7.986519042e-29,4.739725527e-29,2.715662687e-27,8.289808017e-28,-3.080821593e-29,-1.9722831e-29,-1.130034977e-27,-9.324944218e-27,1.281984015e-29,-1.961181668e-28,-1.123674324e-26,2.12309314e-27,1.274768084e-28,0
0.037,0,6.20999392e-47,3.558064424e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-6.022600315e-29,-3.450695798e-27,-8.6759108e-28,3.914690205e-29,1.325118223e-28,7.592368155e-27,4.240486705e-27,-8.613268451e-29,5.160974237e-29,2.957020419e-27,2.720526791e-27,-3.354633254e-29,-4.244091631e-29,-2.431685383e-27,-1.22561101e-26,2.75865956e-29,-1.887193194e-28,-1.081282051e-26,4.425867987e-27,1.226675576e-28,0
0.039,0,6.550267559e-47,3.753026858e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-6.103618162e-29,-3.497115604e-27,-1.261479871e-28,3.967351805e-29,1.392425919e-28,7.978012844e-27,2.875418625e-27,-9.050768473e-29,5.785314108e-29,3.314740815e-27,3.160416004e-27,-3.76045417e-29,-6.742436215e-29,-3.863131388e-27,-1.223394873e-26,4.38258354e-29,-1.791391869e-28,-1.026391936e-26,4.741553714e-27,1.164404715e-28,0
