time_s,motor_angle_rad,motor_velocity_rad_s,motor_frequency_hz,motor_effort_nm,left_length_m,right_length_m,left_rest_length_m,right_rest_length_m,left_delta_length_m,right_delta_length_m,left_length_velocity_m_s,right_length_velocity_m_s,left_force_n,right_force_n,j0_deg,j1_deg,j2_deg,j3_deg,j4_deg,left_tau_j0_nm,left_tau_j1_nm,left_tau_j2_nm,left_tau_j3_nm,left_tau_j4_nm,right_tau_j0_nm,right_tau_j1_nm,right_tau_j2_nm,right_tau_j3_nm,right_tau_j4_nm,total_tau_j0_nm,total_tau_j1_nm,total_tau_j2_nm,total_tau_j3_nm,total_tau_j4_nm,left_anchor_fx_n,left_anchor_fy_n,left_anchor_fz_n,right_anchor_fx_n,right_anchor_fy_n,right_anchor_fz_n,force_residual_n,torque_residual_nm,safety_tripped
0.00025,0,0,0,100,0.280896914076,0.280896914076,0.280896914076,0.280896914076,4.4408920985e-16,4.4408920985e-16,0,0,8.881784197e-12,8.881784197e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00125,0.189812471644,-370.779030494,-59.0113154979,100,0.27535437753,0.286137486289,0.280896914076,0.280896914076,-0.0055425365464,0.00524057221224,14.5094402613,-13.2569087238,34.2436716851,-27.7576429936,0.0629445439343,1.03956619785,-2.55037596526,0.211766774312,1.9294809778,1.53665573126,1.35161395615,1.01440993287,0.226815609097,-0.368668080836,1.24854121643,1.08988349369,0.84138138268,0.181328736006,-0.309705340424,2.78519694769,2.44149744984,1.85579131555,0.408144345103,-0.67837342126,-33.0789843464,2.50187275507,8.49414373592,26.9692068959,1.86307838367,6.29901285121,1.7763568394e-15,7.94410929039e-15,0
0.00225,0.114012682258,-536.250958447,-85.3469907746,100,0.279953530947,0.281494378598,0.280896914076,0.280896914076,-0.000943383129385,0.0005974645214,20.6328635526,-19.4848649136,187.460972938,-182.899358708,0.320962662275,3.09516313647,-8.03458636445,0.390913967767,6.55466809044,8.42243785897,7.43277938967,5.39975235485,1.24887336524,-1.92724332836,8.20681365807,7.13999814181,5.66369511369,1.1877571769,-2.12344986004,16.629251517,14.5727775315,11.0634474685,2.43663054214,-4.0506931884,-181.179568317,13.3457698365,46.2327895206,177.419127951,12.5682752092,42.622375708,1.42108547152e-14,1.30244634845e-13,0
0.00325,0.0405362794431,-456.237956056,-72.6125259325,100,0.284184348566,0.276998474506,0.280896914076,0.280896914076,0.00328743448942,-0.00389843957088,17.1691793392,-16.8633769573,237.440483181,-246.602560991,0.792574236817,4.24103533573,-12.2015582284,-0.0100243541881,11.0458370853,10.6953583568,9.43544048067,6.67963860037,1.56139219127,-2.32538104416,11.0291914916,9.59346549053,7.74272427449,1.62270374847,-2.96691561181,21.7245498484,19.0289059712,14.4223628749,3.18409593974,-5.29229665597,-229.6613177,16.3927457795,58.0081036692,238.900446466,17.4554665296,58.6063687164,2.84217094304e-14,9.84556895428e-14,0
0.00425,0.0809057722413,-349.457625901,-55.6179085634,100,0.284012914973,0.276820575838,0.280896914076,0.280896914076,0.00311600089609,-0.00407633823832,13.1006959961,-12.7517800256,193.326977883,-209.044565023,1.29195920405,4.56951282148,-14.656847253,-0.569018174279,14.3493954405,8.72636777922,7.68703746931,5.35821244942,1.248067608,-1.82220000852,9.32904044963,8.12401427877,6.61042404659,1.40065536204,-2.57735699013,18.0554082289,15.8110517481,11.968636496,2.64872297004,-4.39955699866,-186.875216834,13.29573542,47.709507756,202.680955152,14.8698894031,48.9790462685,0,1.79754673591e-13,0
0.00525,0.17050885357,-336.267762794,-53.5186766512,100,0.281904062586,0.278485233544,0.280896914076,0.280896914076,0.00100714850948,-0.00241168053234,12.5935274736,-11.8081011622,146.078244926,-166.314622269,1.85348915534,4.39461692564,-16.242851363,-1.17109286094,17.0720972003,6.60876883328,5.80650940176,4.00832378239,0.92410573835,-1.33168417051,7.40819970668,6.4669653808,5.28120089866,1.13582491465,-2.09010369717,14.01696854,12.2734747826,9.28952468105,2.059930653,-3.42178786769,-141.066308308,10.1180777264,36.5619310765,161.561641166,11.7881317314,37.67531864,0,1.53055589383e-13,0
0.00625,0.231498611286,-378.062983751,-60.170592664,100,0.280741561982,0.279190874399,0.280896914076,0.280896914076,-0.000155352094526,-0.00170603967695,14.040122847,-12.7752863901,137.29418658,-161.87365744,2.60033698054,3.68207574879,-17.356133921,-1.86442608533,19.7773663589,6.23184453851,5.45004288127,3.74019787152,0.848011355448,-1.20872074419,7.18684443051,6.30810857418,5.15416299726,1.12952376389,-2.07142366285,13.418688969,11.7581514554,8.89436086877,1.97753511933,-3.28014440704,-132.518766465,9.46984706854,34.6235786658,157.480124664,11.5728602445,35.6252749385,1.42108547152e-14,1.81987736523e-13,0
0.00725,0.253537767792,-407.912988976,-64.921368547,100,0.280916134189,0.278662579087,0.280896914076,0.280896914076,1.92201126762e-05,-0.00223433498942,15.0197433338,-13.4869092231,150.581835591,-179.555792019,3.54657057457,2.42258732516,-18.0737842654,-2.53427234451,22.4330776163,6.86160417399,5.96212610517,4.0828017955,0.908301753884,-1.27880943077,7.9305971966,7.02319754854,5.72664202415,1.27861203229,-2.33687684266,14.7922013706,12.9853236537,9.80944381966,2.18691378618,-3.61568627343,-145.298566135,10.1926394306,38.2011255136,174.789485751,13.1313047277,38.9420974624,0,5.68434188608e-14,0
0.00825,0.265216825578,-406.940682491,-64.7666211636,100,0.281380727775,0.277898996154,0.280896914076,0.280896914076,0.000483813699035,-0.00299791792283,14.882807095,-13.2655026214,158.504344931,-192.613384671,4.62872148441,0.715788619411,-18.4199829577,-2.99481609612,24.7655979687,7.25237196269,6.2514032409,4.28770164415,0.940306818247,-1.30213912203,8.45266446323,7.56930803627,6.14782813977,1.39052624544,-2.54262235065,15.7050364259,13.8207112772,10.4355297839,2.33083306369,-3.84476147269,-152.891215746,10.4714579811,40.4753267735,187.568398949,14.4978426688,41.3258300345,2.13162820728e-14,4.26325641456e-14,0
0.00925,0.286904700806,-394.237233745,-62.7448045015,100,0.281398234824,0.277575881317,0.280896914076,0.280896914076,0.00050132074766,-0.00332103275955,14.3183066108,-12.618066094,153.209481062,-192.601316131,5.79569567437,-1.33562621805,-18.4579124166,-3.10780528452,26.6026202388,7.03928671166,6.01086687645,4.1434185889,0.905150587432,-1.22481392479,8.39182136735,7.60733904466,6.14795508243,1.39507998982,-2.5699160952,15.431108079,13.6182059211,10.2913736713,2.30023057725,-3.79473001999,-147.728051545,9.89416409039,39.3912857231,187.666687095,14.9296146829,40.6643349349,7.1054273576e-15,1.03456583947e-13,0
